Permit Type,Agency,Division,Permit/License Name,Form Title,Form PDF,L123 Description,Department Description,Description Link,Biz Portal Description,Application Fee,License Fee,Renewal Fee,Time Frame,"Industry or Sector (as in Lic123: e.g. automotive, consulting, education, food and drink, business services)","Business Types_Level 1 (e.g. cafe, design studio, ",Requirements Link,Tag,Tasks,Notes:,
SF,Department of Public Health (DPH),,Medical Waste Treatment Permit,,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/MedicalWasteApp.pdf,No License123 Description,A treatment permit is required for businesses that treats (sterilize) medical waste on-site.,http://www.sfdph.org/dph/eh/HMUPA/MedicalWaste.asp,A treatment permit is required for businesses that treats (sterilize) medical waste on-site.,,,,"within 45 days of initial call to Hazardous Materials and Waste Progra,",,"Adult Day Care, Assisted Living Facility, Home Health Agency, Clinic, Dentist Office, Medical Practice, Urgent Care",,,,"Prior to filling out the application, one should call the Hazardous Materials and Waste Program to conduct a screening interview to determine your facility type and obtain a facility ID number. We may conduct an on-site field screening inspection as well to determine your facility type.",
SF,Department of Public Health (DPH),,Mobile CFC Recycling Permit,,,No License123 Description,"Businesses servicing chlorofluorocarbon-containing units are required to use approved recycling equipment in order to reduce emission of ozone depleting compounds (chlorofluorocarbons). Any business that repairs, installs, dismantles or disposes of mobile air conditioning systems where chlorofluorocarbon (CFC) refrigerants are recovered or recycled are subject to regulation under the CFC Recovery and Recycling Ordinance and require a permit from the Hazardous Materials and Waste Program.",,,N/A,$106,N/A,unknown,,,,,,,
SF,Department of Public Health (DPH),,MOBILE FOOD FACILITY -CLASS 1 Inspection (Private property only- see DPW for Public Property),,,Mobile food facilities that cook food on-site require inspection and certification to ensure food safety standards are met. ,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities can be classified into five categories (pdf). All mobile food facilities must obtain approval from the Department of Public Health to operate.",,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,MOBILE FOOD FACILITY -CLASS 2 Inspection (Private property only- see DPW for Public Property),,,Mobile food facilities that cook food on-site require inspection and certification to ensure food safety standards are met.,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities can be classified into five categories (pdf). All mobile food facilities must obtain approval from the Department of Public Health to operate.",,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,MOBILE FOOD FACILITY- CLASS 3 Inspection   (Private property only- see DPW for Public Property),,,Mobile food facilities that cook food on-site require inspection and certification to ensure food safety standards are met.,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities can be classified into five categories (pdf). All mobile food facilities must obtain approval from the Department of Public Health to operate.",,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,MOBILE FOOD FACILITY -CLASS 4 Inspection (Private property only- see DPW for Public Property),,,Mobile food facilities that cook food on-site require inspection and certification to ensure food safety standards are met.,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities can be classified into five categories (pdf). All mobile food facilities must obtain approval from the Department of Public Health to operate.",,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,MOBILE FOOD FACILITY -CLASS 5 Inspection (Private property only- see DPW for Public Property),,,Mobile food facilities that cook food on-site require inspection and certification to ensure food safety standards are met.,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities can be classified into five categories (pdf). All mobile food facilities must obtain approval from the Department of Public Health to operate.",,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,Mobile Food Facility Plan Check,Plan Check Application for Mobile Food Facility (MFF),http://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/plancheckapplication.pdf,Mobile Food Facilities in San Francisco must submit their plans to the San Francisco Department of Public Health's Environmental Health office.,,http://www.sfdph.org/dph/eh/Food/mobile.asp,,http://www.sfdph.org/dph/EH/Fees.asp#food,http://www.sfdph.org/dph/EH/Fees.asp#food,N/A,unknown,,"Food Truck, Caterer",,,,,
r,Department of Public Health (DPH),,Mobile Food Facility Commissary Verification Form,Commissary Verification Form for Mobile Food Facilities (MFF) and Mobile Support Unit (MSU),http://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/VerificationForms2012.pdf,No License123 Description,,http://www.sfdph.org/dph/eh/Food/mobile.asp,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,Restroom Verification Form for Mobile Food Facilities (MFF),Restroom Verification Form for Mobile Food Facilities (MFF),http://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/VerificationForms2012.pdf,No License123 Description,,http://www.sfdph.org/dph/eh/Food/mobile.asp,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Health (DPH),,Private Property Owner Verification Form for Mobile Food Facilities (MFF),Private Property Owner Verification Form for Mobile Food Facilities (MFF),http://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/VerificationForms2012.pdf,No License123 Description,,http://www.sfdph.org/dph/eh/Food/mobile.asp,,,,,,,,,,,,
SF,Department of Public Health (DPH),,OUTCALL MASSAGE SERVICE PERMIT ANNUAL LIC. FEE,,,No License123 Description,"Massage establishments, except massage establishments which employ or use only state certified practitioners or non-profit organizations, are required to obtain a license from the Department of Public Health. ",,,,$296,,,,"Beauty Salon & Spa, Massage Establishment",,,,,
SF,Department of Public Health (DPH),,PET HOSPITAL - OVERNIGHT,Application for Permit to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/permit_to_operate.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Pet Hospital,,,,,
SF,Department of Public Health (DPH),,PET HOSPITAL - OVERNIGHT,Zoning Referral for Health Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Pet Hospital,,,,,
SF,Department of Public Health (DPH),,PET HOSPITAL - OVERNIGHT,Fire Marshal Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FireMarshalForm.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Pet Hospital,,,,,
SF,Department of Public Health (DPH),,PET SHOP - OVERNIGHT,Application for Permit to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/permit_to_operate.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Pet Shop,,,,,
SF,Department of Public Health (DPH),,PET SHOP - OVERNIGHT,Zoning Referral for Health Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Pet Shop,,,,,
SF,Department of Public Health (DPH),,PET SHOP - OVERNIGHT,Fire Marshal Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FireMarshalForm.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Pet Shop,,,,,
SF,Department of Public Health (DPH),,PRODUCE STANDS,,,No License123 Description,"A temporary food facility (TFF) is any person (or organization) intending to sell, give away, or sample food to the public from a fixed location for a period of time, not to exceed 25 days in a 90-day period, in conjunction with a community event.",,,,,,,,Farmer's Market Booth,,,,,
SF,Department of Public Health (DPH),,PUSHCARTS (RETAIL FOOD VEHICLE),,,No License123 Description,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities can be classified into five categories (pdf). All mobile food facilities must obtain approval from the Department of Public Health to operate.",,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RESTAURANTS - 1,000 - 2,000 SQ FT",,,"Counties regulate the health and safety of restaurants, bars and other establishments selling food and drink to the public. Your business must demonstrate that it complies with local and state codes.",,,,,,,,,Restaurant,,,,,
SF,Department of Public Health (DPH),,"RESTAURANTS - OVER 2,000 SQ FT",,,"Counties regulate the health and safety of restaurants, bars and other establishments selling food and drink to the public. Your business must demonstrate that it complies with local and state codes.",,,,,,,,,Restaurant,,,,,
SF,Department of Public Health (DPH),,"RESTAURANTS - UNDER 1,000 SQ FT",,,"Counties regulate the health and safety of restaurants, bars and other establishments selling food and drink to the public. Your business must demonstrate that it complies with local and state codes.",,,,,,,,,Restaurant,,,,,
SF,Department of Public Health (DPH),,RETAIL BAKERIES (W FOOD PREP,,,San Francisco has a special permit for bakeries -- with and without baking on premises.,,,,,,,,,Bakery,,,,,
SF,Department of Public Health (DPH),,RETAIL BAKERIES (W/O FOOD PREP),,,San Francisco has a special permit for bakeries -- with and without baking on premises.,,,,,,,,,Bakery,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W PREP - 10,001 - 20,000",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W PREP - 5,001 - 10,000",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W PREP - UNDER 5,001",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W/O PREP  10,001 - 20,000",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W/O PREP - OVER 20,000",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W/O PREP - UNDER 5,001",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"RETAIL MKTS W/O PREP 5,001 - 10,000",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SCHOOL CAFETERIAS (PRIVATE W PREP),,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SCHOOL CAFETERIAS (PRIVATE W/O PREP),,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SKILLED NURSING FACILITIES,,,No License123 Description,,,,,,,,,Skilled Nursing Facility,,,,,
SF,Department of Public Health (DPH),,SOLO MASSAGE ESTABLISHMENT ANNUAL LIC. FEE,,,No License123 Description,"Massage establishments, except massage establishments which employ or use only state certified practitioners or non-profit organizations, are required to obtain a license from the Department of Public Health.",,,,,,,,"Beauty Salon & Spa, Massage Establishment",,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS - EVENT SPONSOR,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS - FOOD OPERATOR HIGH HAZARD,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS - FOOD OPERATOR LOW HAZARD,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS PERMIT FEES - 2 DAYS + HIGH HAZARD,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS PERMIT FEES - 2 DAYS + LOW HAZARD,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS PERMIT FEES - 2 DAYS HIGH HAZARD,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,SPECIAL EVENTS PERMIT FEES - 2 DAYS LOW HAZARD,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,STABLES/RIDING ACADEMY - OVERNIGHT,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,STADIUM CONCESSIONS (PERM),,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,"SUPERMARKETS > 20,000 SQF W/ 1 FOOD PREP",,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,Grocery Market,,,,,
SF,Department of Public Health (DPH),,SUPERMARKETS W/ 2-3 FOOD PREP,,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,Grocery Market,,,,,
SF,Department of Public Health (DPH),,SUPERMARKETS W/ 4+ FOOD PREP,,,The county Department of Public Health's Environmental Health bureau checks for health and safety standards in all retail food establishments.,,,,,,,,,Grocery Market,,,,,
SF,Department of Public Health (DPH),,TAKE-OUTS,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,Temporary Food Facility Permit,,,Any vendor who sells foods prepared for consumption on site,"A business owner/operator is someone who engages in the practice of tattooing, body piercing or applying permanent cosmetics. ",,,,,,,,,,,,,
SF,Department of Public Health (DPH),,TATTOO & PIERCING FACILITIES,,,No License123 Description,"Practitioners are persons who are solely engaged in the practice of tattooing, body piercing or applying permanent cosmetics. ",,,,,,,,Tattoo & Piercing Parlor,,,,,
SF,Department of Public Health (DPH),,"TATTOO, BODY PIERCING, PRACTITIONER",,,No License123 Description,,,,,,,,,Tattoo & Piercing Parlor,,,,,
SF,Department of Public Health (DPH),,Tobacco Sales License (Annual),,,No License123 Description,The Tobacco Sales Program ensures that all facilities selling tobacco products are permitted. The San Francisco Tobacco Control Laws have been shown to dramatically reduce illegal sales to minors.,,,,,,,,Many,,,,,
SF,Department of Public Health (DPH),,Underground Storage Tank Permit,,,"Underground storage tanks are regulated in San Francisco by the Department of Public Health to ensure quality, safety and the enforcement of regulations.",,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,VENDING MACHINES - COMPANIES,,,No License123 Description,,,,,,,,,Vending Machines,,,,,
SF,Department of Public Health (DPH),,WASH LAUNDRIES,,,No License123 Description,,,,,$229,,,,Laundry Facility,,,,,
SF,Department of Public Health (DPH),,Weights and Measures Permit,Weights & Measures Weighing and Measuring Device Permit Application,https://www.sfdph.org/dph/files/EHSdocs/WeightsMeasures/Weights_Measures_Permit_Application.pdf,License123 Description Unavailable,The Weights and Measures program registers weighing or measuring devices to ensure consumer protection and rights.,https://www.sfdph.org/dph/EH/WeightsMeasures/default.asp,"This form is for any business owner that will be using regulated wighing and measuring devices, including Point of Sale and Taxi Meters.",N/A,https://www.sfdph.org/dph/EH/Fees/WandM.pdf,N/A,unknown,,Most (including all Point of Sale Stations),,,,,
SF,Department of Public Health (DPH),,Point of Sale Registration,Weights & Measures Automated Point of Sale (POS) Station Registration,https://www.sfdph.org/dph/files/EHSdocs/WeightsMeasures/Point_Of_Sale_Registration_Form.pdf,"The Weights and Measures Program is responsible for registering and inspecting all point of sale stations. A ""point of sale station"" is defined as individual or separate equipment that is capable of recovering electronically stored price information that is used to charge consumers for the purchase of commodities.","The Weights and Measures Program is responsible for registering and inspecting all point of sale stations. A ""point of sale station"" is defined as individual or separate equipment that is capable of recovering electronically stored price information that is used to charge consumers for the purchase of commodities.",https://www.sfdph.org/dph/EH/WeightsMeasures/default.asp,This registration is for business that have Point of Sale Stations. ,N/A,N/A,N/A,unknown,,Any business with a Point of Sale Station,,,,,
SF,Department of Public Health (DPH),,Wholesale Food Market Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,Fire Marshall Referral Form,Fire Marshal Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FireMarshalForm.pdf,No License123 Description,Referral by DPH to the Fire Department for review of facilities,N/A,This form is for federral from DPH to the Fire Department for facilities review. This applied to a variety of business types.,N/A,N/A,N/A,unknown,,Any,,,,,
SF,Department of Public Health (DPH),,Zoning Referral for Health Permit,Zoning Referral for Health Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,No License123 Description,"Referral by DPH to the Planning Department for review of Restaurant, Limited Restaurant, Bar, General Grocery, Specialty Grocery, or other Establishment (may include Massage Establishment, Tobacco Paraphernalia Establishment, Medical Cannabis Dispensary, Service, Personal, Take-Out Food)",N/A,"This form is for referral from DPH to the Planning Department, for a variety of business types. ",N/A,N/A,N/A,unknown,,Any,,,,,
SF,Department of Public Health (DPH),,Trans Fat Ban in California***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Works (DPW),,Cafe Tables and Chairs,Application for Revocable Street-Use Permit (Tables and Chairs),http://www.sfdpw.org/modules/showdocument.aspx?documentid=3250,No License123 Description,The City has established an ordinance allowing restaurants and cafes to provide customers with outdoor seating that preserves the charms and uniqueness for which San Francisco is world famous. Cafe Tables and Chairs Guidelines have also been established for all business owners who wish to obtain a Revocable Street-Use Permit to place Tables and Chairs on the sidewalk in front of their restaurant or cafe. These guidelines balance safety and accessibility with commercial prosperity.,http://www.sfdpw.org/index.aspx?page=384,Allows you to place tables and chairs on the sidewalk in front of your business during business hours. ,http://www.sfdpw.org/modules/showdocument.aspx?documentid=3275,Processing Fee: $118.35 and $6.48/ SF (New) + Inspection Fees: Unknown,Processing Fee: $59.18 and $5.46/ SF (Renewals) ,At least 10 days,,"Restaurant, Cafe, Bakery, Bar, Nightclub, Bistro, Chocolatier, Deli, Frozen Yogurt Shop, Ice Cream Shop, Winery",,,,"Provide evidence of Liability insurance for a minimum coverage of $1,000,000, naming the City and County of San Francisco as additional insured. The insurance coverage must be in force for the duration of the permit. Requires Owner to Obtain General Liability Insurance; Renewable Online",
SF,Department of Public Works (DPW),,Free Sample Merchandise Permit,Application to Distribute Free Sample Merchandise on Public Right-of-Way,http://www.sfdpw.org/modules/showdocument.aspx?documentid=3274,No License123 Description,"A Free Sample Merchandise (FSM) Permit is the distribution of free sample goods for the purpose of promoting any merchandise, commodity, property, trade, business, service, art or skill, on any street, sidewalk or public right-of-way in the City and County of San Francisco. ",http://sfdpw.org/index.aspx?page=1733,Allow you to give out free samples related to your business on any San Francisco street.,N/A,$121.27 per day (for multiple locations) + $500 separate refundable bond ,N/A,Immediate,,Many,,,,,
SF,Department of Public Works (DPW),,Minor Sidewalk Encroachment Permit,Application and Instructions for Minor Sidewalk Encroachment Permit,http://www.sfdpw.org/Modules/ShowDocument.aspx?documentid=81,No License123 Description,"Amenities placed on the sidewalk can enhance the overall pedestrian experience as long as accessibility for all is maintained. For example, a Minor Sidewalk Encroachment Permit is required to install a public service bench (available for general public use). In order to apply for a permit to install a sidewalk structure for public use, take a photo of the structure you want to install, and draw a schematic of the intended location and download the permit application.",http://www.sfdpw.org/index.aspx?page=1189,"This applicication is for business owners who wnat install and maintain a minor encroachment, extending from his/her property. These may include, but are not limited to fences, retaining walls, steps or stairways and other minor structures in the sidewalk fronting. ",http://38.106.4.205/Modules/ShowDocument.aspx?documentid=244,see: application fee,see: application fee,unknown,,Any,,,,,
SF,Department of Public Works (DPW),,Mobile Food Facility Permit,,,No License123 Description,,,,,,,,,"Food Truck, Caterer",,,,,
SF,Department of Public Works (DPW),,Sidewalk Display Merchandise/Produce Permit,Application for Revocable Street-Use (Display Merchandise),Form not online,No License123 Description,"In order to enhance the viability of retail establishments in the commercial district, the City has established a process that would allow retail business owners to display some of their merchandise on a portion of the sidewalk in front of their business.  To balance safety and accessibility with commercial prosperity, the City has established the following requirements for all business owners who wish to obtain a Revocable Street-Use Permit to Display Merchandise on the sidewalk in front of their retail business establishment.",http://sfdpw.org/index.aspx?page=385,Allows you to display merchandise on a portion of the sidewalk outside of your business.,Processing Fee: $128.54 and $8.37/ SF + Inspection Fees ,N/A,N/A,At least 10 days,,Many,,,,,
SF,Department of Public Works (DPW),,Street Improvement Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Works (DPW),,Temporary Occupancy Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,Bag Reduction Ordinance***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,Construction & Demolition Debris Recovery Ordinance***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,Food Service Ware Ordinance***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,Mandatory Recycling and Composting Ordinance***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,Safe Drug Disposal Information Ordinance***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,San Francisco Commuter Benefits Ordinance***,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of the Environment,,Tenant Bicycle Parking in Existing Commercial Buildings***,,,No License123 Description,,,,,,,,,,,,,,
SF,Entertainment Commission,,amusement parks,,,No License123 Description,,,,$954(FY 13/14),,,,,,,,,,
SF,Entertainment Commission,,ball or ring throwing games,,,No License123 Description,,,,$522(FY 13/14),,,,,,,,,,
SF,Entertainment Commission,,billiard and pool tables,,,No License123 Description,,,,$600,,,,,,,,,,
SF,Entertainment Commission,,circus,,,No License123 Description,,,,$746(FY 13/14),,,,,,,,,,
SF,Entertainment Commission,,extended-hours premises,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,No License123 Description,N/A,N/A,This permit is typically for estrablishments that will be open to the public after 2:00 A.M.,http://www.sfgov2.org/modules/showdocument.aspx?documentid=696,N/A,N/A,,,,http://www.sfgov2.org/index.aspx?page=353,,,,
SF,Entertainment Commission,,extended-hours premises,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,No License123 Description,N/A,N/A,This permit is typically for estrablishments that will be open to the public after 2:00 A.M.,http://www.sfgov2.org/modules/showdocument.aspx?documentid=696,N/A,N/A,,,,http://www.sfgov2.org/index.aspx?page=353,,,,
SF,Entertainment Commission,,extended-hours premises,San Francisco Entertainment Commission Place of Entertainment/Extended-Hours Application Questionnaire,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/POEorEH-ApplicationQuestionnaire.pdf,No License123 Description,N/A,N/A,This permit is typically for estrablishments that will be open to the public after 2:00 A.M.,http://www.sfgov2.org/modules/showdocument.aspx?documentid=696,N/A,N/A,,,,http://www.sfgov2.org/index.aspx?page=353,,,,
SF,Entertainment Commission,,itinerant show,Itinerant Show Permit,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/permits/ItinerantShowPermitPackage.pdf,No License123 Description,No Information,http://www.sfgov2.org/index.aspx?page=3976,"This is the standard Entertainment Commisiion Place of Entertainment Permit Application. Allows you to operate as a retailer with devices, but without a permanent place of business.",$418,Unknown,N/A,Unknown,,some,,,,,
SF,Entertainment Commission,,itinerant show,Itinerant Show Information Form,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/ItinerantShowInformationForm.pdf,No License123 Description,"The San Francisco Fire Department and Health Department must be provided with 
certain information prior to their on-site inspection on the day of the event. It is YOUR 
responsibility to contact the Fire Department and the Health Department at least two 
weeks before your event so that you can become aware of hazardous conditions and have 
time to correct them so that you will have a safe and successful event. Keep in mind the 
fact that your event can be shut-down by these city agencies if fire hazards or unsanitary 
condition exist. Please answer the following questions. 
",http://www.sfgov2.org/index.aspx?page=3976,"This form collects certain information, prior to the onsite inspection on the day of the event, especially information regarding items subject to inspection (ex: food, liquid petroleum gas, tents, amusement rides). ",$418,Unknown,N/A,Unknown,,some,,,,This form is included as the last page in the link to the Itinerant Show Permit,
SF,Entertainment Commission,,Limited Live Performance Permit,Limited Live Performance Application,fillable to submit online; must download,"In the city of San Francisco, the Limited Live Performance Permit (LLP) is required to permit live performances in establishments whose primary use is not entertainment. Examples include a restaurant with a piano player, or a café that hosts live poetry or music. Permits are issued by the San Francisco Entertainment Commission to ensure quality and enforcement of regulations.","The purpose of a Limited Live Performance permit (LLP) is to permit live performances in establishments whose primary use is not entertainment. Examples include a restaurant with a piano player, or a café that hosts live poetry or music",,Allows entertainment performances in establishments whose primary use is not entertainment.,$418,Unknown,$129,45-60 days,,"Bar, Night Club",,,, Amendment is $140,
SF,Entertainment Commission,,loudspeaker vehicle,Amplifies Sound Permit Application,fillable to submit online; must download,No License123 Description,No description,N/A,Allows you to use outdoor amplified sound projected from a vehicle.,$564,Unknown,Unknown,Unknown,,Many,,,,,
SF,Entertainment Commission,,loudspeaker/outdoor amplified sound,Entertainment Commission Outdoor Loudspeaker/Outdoor Soundd Truck Permit & Amplified Sound Permit Application,fillable to submit online; must download,No License123 Description,No description,N/A,Allows you to use outdoor amplified sound.,$564,Unknown,Unknown,Unknown,,Many,,,,Fillable SmartPDF that may be submitted online,
SF,Entertainment Commission,,masked balls,,,No License123 Description,,,,$1053,,,,,,,,,,
SF,Entertainment Commission,,mechanical amusement device,,,No License123 Description,,,,$768,,,,,,,,,,
SF,Entertainment Commission,,mechanical contrivances,,,No License123 Description,,,,$768,,,,,,,,,,
SF,Entertainment Commission,,one night dance,,,No License123 Description,,,,,,,,,,,,,,
SF,Entertainment Commission,,one-time event,,,No License123 Description,,,,,,,,,,,,,,
SF,Entertainment Commission,,Outdoor Loudspeaker or Sound Truck Permit,Outdoor Amplified Sound/Loudspeaker Permit ,fillable to submit online; must download,"San Francisco Municipal Police Code Article 1 §43 requires a permit for amplified sound outdoors, or projected outdoors. This includes outdoor loudspeakers and sound trucks.",No description,N/A,"Allows you to use outdoor amplified sound, from a sound truck or stationary loudspeaker.",$564,Unknown,Unknown,Unknown,,"Bar, Brew Pub, Night Club, Alcohol Wholesaler, Bakery, Beer Wholesaler, Bistro, Cafe/Bakery Cafe, Coffee Shop, Delicatessan (sit down), Diner, Espresso Bar, Family Restaurant, Fast-casual restaurant, Fine Dining Restaurant, Franchise Restaurant, Gastro-pub, Pizzeria, Salad Bar, Wine Wholesaler, Winery, ????????????????",,,,,
SF,Entertainment Commission,,Place of Entertainment Permit,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,"The Place of Entertainment Questionnaire and Letter of Intent are required for establishments seeking entertainment permits, such as those for dancing, live or recorded music, billiards or pool tables and/or mechanical amusement devices. ",No description,N/A,"Allows establishments to have dancing, lie or recorded music, billards/pool tables, and/or mechanical devices. ",$1853,Unknown,Unknown,Unknown,,"Bar, Nightclub",,,,,
SF,Entertainment Commission,,Place of Entertainment Permit,San Francisco Entertainment Commission Permit Letter of Intent Form,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,"The Place of Entertainment Questionnaire and Letter of Intent are required for establishments seeking entertainment permits, such as those for dancing, live or recorded music, billiards or pool tables and/or mechanical amusement devices. ",No description,N/A,Part of the Place of Entertainment Permit or  Extended Hours Premises Permit package.,Unknown,Unknown,Unknown,Unknown,,"Bar, Nightclub",,,,,
