Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Open Burning Permit (See Officer),Visit the Fire Department to learn about this permit.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Open Flame, Candle, Assembly, Use",SFFD Permit to have lit candles in businesses that accomodate over 49 people - includes tea lights and other decorative uses. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Restaurant,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Open Flame, Sterno, Barbecue, Use",SFFD Permit to use Sterno canned lamps and/or Barbecues for the heating and serving of food. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Open Flame, Use, Temporary",SFFD Permit to temporarily have lit candles in your business - includes tea lights and other decorative uses. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Outdoor Fire (See Officer),Visit the Fire Department to learn about this permit.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Place of Assembly Permit, Operation",SFFD Permit allowing you to have above 49 people in your space.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.

Make note on looking in database >49",Restaurant*Nightclub*Bar*Bowling Alley*Gym & Yoga Studio*Art Gallery,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Place of Assembly Permit, Permanent Occupancy, Nonprofit, Operation",SFFD Permit allowing you to have above 49 people in your nonprofit's space.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$0,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Place of Assembly Permit, Temporary/Special, Operation (fire watch required)",SFFD Permit allowing you to temporarily have above 49 people in your space.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pyrotechnic Special Effects Material Permit, Use, Handling",SFFD Permit to use or handle Pyrotechnic Special Effects Material. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refrigeration Equipment Permit,SFFD Permit to operate Refrigeration Equipment. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooftop Heliport Permit,SFFD Permit for a Rooftop Heliport. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary Membrane Structures/Tents Permit,SFFD Permit to set up a Tent or other Temporary Membrane Structure with over 400 sq. ft. of space. Must visit the Fire Department to learn more.,Submittal requirements and exceptions.,http://www.sf-fire.org/index.aspx?page=1263,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.

Permit applications must be submitted at least ten (10) business days prior to the requested start date of the activity or operation. The SFFD may elect to accept and review applications with a shorter timeline; however, such permits may be subject to overtime charges for review and approval.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tire-Rebuilding Permit, Plant, Operation, Maintenance",SFFD Permit for Tire Rebuilding. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Brake & Tire Shop,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tire Storage Permit, Scrap/Byproducts",SFFD Permit to Store Tire Scraps and Byproducts. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Brake & Tire Shop,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle Repair Garage Permit, Major",SFFD Permit to conduct Major Vehicle Repair. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Auto Body & Paint Shop*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle Repair Garage Permit, Minor",SFFD Permit to conduct Minor Vehicle Repair. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Auto Body & Paint Shop*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Events,SFFD Permit for Special Events. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Event & Wedding Planning,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,San Francisco Fire Department Supplemental Application for Special Events,http://www.sf-fire.org/Modules/ShowDocument.aspx?documentid=1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Handling Permit,SFFD Permit to Handle Waste. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTA New Color Curb,"Application for an official change in the color of the curb in front of your business. Different colors allow for different types of curbside parking, depending on the area, business operations, and usage.",Please see the department website link below for a detailed explanation,https://www.sfmta.com/th/services/streets-sidewalks/installation-requests/new-color-curb,,,red*blue*green*white*yellow,SF Municipal Transportation Agency,City,,Color Curb Fees,https://www.sfmta.com/th/services/streets-sidewalks/installation-requests/new-color-curb,,,"Color Curb Application Form - Green, Yellow, or White Zone",https://www.sfmta.com/sites/default/files/pdfs/Application%20Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contractor Parking Permits,This permit is for contractor’s requesting temporary exceptions to traffic and parking rules and regulations.,SFMTA Contractor Permits webpage,https://www.sfmta.com/ko/services/permits-citations/parking-permits/contractor-permits,,General Building Contractor*General Engineering Contractor*Specialty Contrator,,SF Municipal Transportation Agency,City,$929/yr ($465.00 prorating begins December 1),,,,,Contractor Application Form Permit Year 2013/2014,https://www.sfmta.com/sites/default/files/pdfs/ContractorApplicationForm130313.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Traffic Permit,This permit is for temporary exceptions to traffic and parking rules and regulations.,SFMTA pdf for permits required to work on city streets,http://www.sfmta.com/sites/default/files/pdfs/Section1_001.pdf,,,,SF Municipal Transportation Agency,City,$175 Permit Fee + $36/day,,,,,Special Traffic Permit Application,https://www.sfmta.com/sites/default/files/pdfs/STPAPPLICFORMasavableform.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Traffic Moratorium Restrictions Waiver,"This form is used to determine if a block is a ""business block"" and to request a SFMTA waiver of the moratorium restrictions (you must apply for a Special Traffic Permit). ",Holiday Moratorium Business Block Map,http://www.sfmta.com/sites/default/files/pdfs/HOLIDAYMORATORIUMFORM.pdf,,,,SF Municipal Transportation Agency,City,,,,,,Holiday Moratorium Business Block Map,http://www.sfmta.com/sites/default/files/pdfs/HOLIDAYMORATORIUMFORM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail Clearance Permit,Contractors performing any work within 48 inches of the outside edge of SFMTA track (the “Safety Envelope”).,SFMTA Permits Required to Work on City Streets PDF,http://www.sfmta.com/sites/default/files/pdfs/Section1_001.pdf,,,,SF Municipal Transportation Agency,City,,,,,,"SFMTA - Central Control - Application for Subway, Surface, and Electrical Permit",https://www.sfmta.com/sites/default/files/pdfs/RailClearancePermitApplication.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Driver Permit,Required to drive MTA-sanctioned taxis.,,,,Taxi Company,,SF Municipal Transportation Agency,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Permit Holder Application,,,,,Taxi Company,,SF Municipal Transportation Agency,City,,Taxi Fee Schedule,http://www.sfmta.com/services/taxi-industry/taxi-industry-fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Wrap Advertising Permit,Allows taxi drivers to place advertising on their vehicles. ,,,,Taxi Company,,SF Municipal Transportation Agency,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary Street Closure for a Special Event ,"If you or your organization would like to close one or multiple San Francisco city streets for a neighborhood block party, street fair, athletic event, etc., you must formally apply to the Interdepartmental Staff Committee on Traffic and Transportation (ISCOTT).",SFMTA Street Closure Sitepage,http://www.sfmta.com/services/streets-sidewalks/apply-street-closure,,Event & Wedding Planning,,SF Municipal Transportation Agency,City,"Varies by event & duration. Please see the ""Application for Temporary Street Closing"" fee matrix. ",,,,,Application for Temporary Street Closing,http://www.sfmta.com/sites/default/files/pdfs/Special%20Event%20Street%20Closure%20Application612.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oversized Vehicle Permit,,,,,Towing Company*Commercial Transportation/Trucking*Hazardous Materials Transportation,,SF Municipal Transportation Agency,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residential Parking Permit, Business/Commercial, Foreign Consulates",Contractor Parking Permits may be issued to commercial vehicles used by a business holding a California Contractor's license for a trade related to construction or pest control services.,SFMTA Contractor Permits,http://sfmta.com/vi/services/permits-citations/parking-permits/contractor-permits,,,,SF Municipal Transportation Agency,City,$920 ($465 prorated for 6 months),,,,,Contractor Application Form: Permit Year 2014/2015,http://sfmta.com/sites/default/files/pdfs/CON-Application%20Form%2014%200314_2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Ramp Taxi Permit Holder Application,Taxis that serve the physically handicapped or others needing a vehicle with a lift or ramp must hold a special permit.,,,,Taxi Company,,SF Municipal Transportation Agency,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Business Registration," New businesses must register with the Office of the Assessor-Recorder, the San Francisco agency that identifies taxable property. Registration allows the office to assess your business's property at tax time.",,,"To register, submit a New Business Registration form to the Office of the Assessor-Recorder, Business Personal Property Division. Later, each Spring, the Office of the Assessor Recorder will ask you to fill out a Business Property Statement (Form 571-L) by listing the value of all your supplies, equipment and fixtures at each business location. ",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Towing Company*Parking Lots & Garages*Auto Wrecker*Child Care Services*Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*General Building Contractor*General Engineering Contractor*Specialty Contractor*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Alcohol/Beer & Wine Wholesaler*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer's Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery*Vending Machines*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Device Sales*Medical Marijuana Dispensary*Medical Transport*Pharmacy*Skilled Nursing Facility*Food Manufacturing*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Cleaning Business*Dog Walking*Laundry/Dry Cleaning*Gym & Yoga Studio*Hair/Nail Salon*Personal Trainer*Tattoo & Piercing Parlor*Massage Establishment*Pet Sitting*Dog Kennel*Dog Walking*Pet Hospital*Pet Shop*Security Services*Recycling Business*Junk Dealer/Junkyard*Accounting Service*Appliance Repair & Service*Electronics & Computer Repair*Educational Consulting*Employment/Staffing Agency*Event & Wedding Planning*Financial Advisor*Graphic/Web Design*Law Firm*Modeling/Talent Agency*Payroll Services*Software Developer*Advertising Agency*Architectural Consultant*Art Consultant*Business Consultant*Engineering Consultant*IT Consultant*Marketing Consultant*Broker Dealer *Insurance Agency/Broker*Escrow Agency*Home Inspection*Real Estate Agency*Residential Leasing*Photography*Landlord*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping*Pedicab*Import/Export*Airport Passenger Transportation*Limousine Services*Taxi Company*Valet Parking*Vehicle Rental*Travel Company*Tour Company*Bed & Breakfast*Hotel,,SF Office of the Assessor Recorder,City,,,,,,New Business Registration Form,https://lametropolitaine.files.wordpress.com/2014/07/new_business_registration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fictitious Business Name,"Allows you to use a name other than your given name, the names of your partners, or the officially registered name of your LLC or corporation. ",,,"Please read all these instructions before proceeding with Fictitious Business Name Change(s)/Refiling(s)/Renewals.   
1. Complete the Fictitious Business Name application. The same form is used whether you are refiling a statement or filing for the first time: 
2. Verify that your current Business Registration Certificate is consistent with the information on the fictitious business name statement. If not, you will need to go to the Tax Collector office
3. If filing in person, submit the completed Fictitious Business Name (FBN) form. The same fees apply whether it is a ""First Filing"" or a ""Refiling"" (fees are indicated at the top left of FBN form). Acceptable forms of payment are cash, preprinted check or money order and debit cards. 
OR 
Mail the following:
Original and signed completed FBN form and a photocopy
A copy of the current Business Registration Certificate
Payment: a preprinted check or money order payable to S.F. County Clerk
A self-addressed stamped envelope
                                                                                                                                                                                                                                                                                                                                     A fictitious business name statement is valid for 5 years from the date of filing when all legal requirements are satisfied and the facts on the statement are current. If there is no change in facts on the FBN statement due to expire or expired less than 40 days, a new fictitious business name statement needs to be filed and the required filing fee paid. Publication in a newspaper would not be required. If there is a change in fact on the FBN statement or the statement has expired more than 40 days, a new fictitious business name statement needs to be filed, required filing fee paid, and FBN statement published in a newspaper within 30 days of filing the FBN statement. For information on the publication requirements, visit Fictitious Business Names.  ",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Towing Company*Parking Lots & Garages*Auto Wrecker*Child Care Services*Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*General Building Contractor*General Engineering Contractor*Specialty Contractor*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Alcohol/Beer & Wine Wholesaler*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer's Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery*Vending Machines*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Device Sales*Medical Marijuana Dispensary*Medical Transport*Pharmacy*Skilled Nursing Facility*Food Manufacturing*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Cleaning Business*Dog Walking*Laundry/Dry Cleaning*Gym & Yoga Studio*Hair/Nail Salon*Personal Trainer*Tattoo & Piercing Parlor*Massage Establishment*Pet Sitting*Dog Kennel*Dog Walking*Pet Hospital*Pet Shop*Security Services*Recycling Business*Junk Dealer/Junkyard*Accounting Service*Appliance Repair & Service*Electronics & Computer Repair*Educational Consulting*Employment/Staffing Agency*Event & Wedding Planning*Financial Advisor*Graphic/Web Design*Law Firm*Modeling/Talent Agency*Payroll Services*Software Developer*Advertising Agency*Architectural Consultant*Art Consultant*Business Consultant*Engineering Consultant*IT Consultant*Marketing Consultant*Broker Dealer *Insurance Agency/Broker*Escrow Agency*Home Inspection*Real Estate Agency*Residential Leasing*Photography*Landlord*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping*Pedicab*Import/Export*Airport Passenger Transportation*Limousine Services*Taxi Company*Valet Parking*Vehicle Rental*Travel Company*Tour Company*Bed & Breakfast*Hotel,,SF Office of the County Clerk,City,,FBN Fees,http://www.sfgov2.org/index.aspx?page=42,,,Fictitious Business Name Statement,http://www.sfgov2.org/ftp/uploadedfiles/countyclerk/Forms/FBNS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conditional Use Authorization,For businesses proposing a use that is not typically permitted in a particular Zoning District. This is a very complex process so be sure to review the application packet closely for a detailed description of the qualifications and procedures.,,,"For each zoning district, Planning Code contains use charte that list types of uses and whether each is permitted, permitted conditionally, or not permitted. In addition to those particular uses, the Conditional Use Authorization process is utilized for various other aplications included but not limited to residential demolition, Planned Unit Developments, and exemptions from off-street parking. Please consult a planner at the Planning Information Counter (PIC) for additional information regarding these applications.",,,SF Planning Department,City,,Planning Department Schedule of Application Fees,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=512,,,Instruction Packet & Affidavit for Pre-Application Meeting,http://sf-planning.org/Modules/ShowDocument.aspx?documentid=533,Application Packet for Conditional Use Authorization,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary Use Authorization Permit,"Permit allowing a specific land use for a limited period of time, typically not associated with significant construction activity. Usually used for temporary events and/or for mobile food facilities on private property.",,,"A Temporary Use Authorization permits a specific land use for a limited period of time on a particular parcel. Temporary Use Authorizations are typically not associated with signifcant construction activity; they authorize such short-term uses as mobile food facilities, seasonal Christmas tree and pumpkin sales, construction trailers, and festivals or exhibitions. A Temporary Use Authorization from the Planning Department is frequently one of a number of City permits required to operate a temporary use. The Fire, Police, and Health Departments, among others, may also require separate permits before such can commence operations. While a Temporary Use Authorization permits a specific use or activity on a given parcel, it does not authorize any construction-related activities. Construction, demolition, or alteration of a structure - regardless of association with a temporary use - are subject to the permitting requirements of the Department of Building Inspection (DBI).",Mobile Food Truck,Food Cart*Push Cart*Lunch Truck*Street Food,SF Planning Department,City,,Planning Department Schedule of Application Fees,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=512,,,Application Packet for Temporary Use Authorization,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=8369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Change of Use,"Allows an establishment to go from one permitted use or activity to another (eg. from retail shop to restaurant), as indicated in the San Francisco Planning Code.","Permit Application Checklist
",http://sf-planning.org/Modules/ShowDocument.aspx?documentid=8507,,,,SF Planning Department,City,,,,,,"Instruction Packet and Affidavit for Pre-Application Meeting
",http://sf-planning.org/Modules/ShowDocument.aspx?documentid=533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit for Formula Retail Establishments,This form is for applicants proposing a Retail Use Establishment (chain store).,Affidavit for Formula Retail Establishments Packet,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=8313,,,Chain stores,SF Planning Department,City,,,,,,Affidavit for Formula Retail Establishments,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=8313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit for Massage Use (to be used in conjunction with a Building Permit),"This form is for applicants seeking planning approval to operate a massage, acupressure, or reflexology establishment.",,,"Part 1 of this affidavit is applicable to new massage establishment for which the sole proprietor is certified by the California Massage Therapy Council (CAMTC), or which employs or uses only persons certified by CAMTC, and who wish to be exempted from the requirement to obtain Conditional Use authorization from the Planning Commission. Please note that all massage therapists working at the establishment must be certified by CAMTC in order for the establishment to qualify for such exemption. Please fill out only Part 1 of this affidavit and submit it with copies of CAMTC certificates for all massage therapists employed by the establishment, and the DPH Health Permit Application Zoning Referral form to the Planning Department by mail or fax (415 558-6409). Part 2 of this affidavit is for continuance of massage as an accessory use for a medical or commercial establishment. A legally existing massage, acupressure, or reflexology use that was authorized as an accessory use from a primary medical or commercial establishment prior to May 2007 may be permitted to continue as a non-conforming conditional use (pursuant to Planning Code Sections 186.1 and 185), provided that the original conditions pertaining to the operation of the accessory massage component, which were previously documented and notarized via affidavit, remain the same.",Massage Establishment,Massage Parlor*Massage Chair*Foot Massage*Spa*Day Spa*Shoulder Massage*Scalp Massage,SF Planning Department,City,,,,,,Affidavit for Massage Use,http://www.sf-planning.org/modules/showdocument.aspx?documentid=8653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Packet to Operate a Medical Cannabis Dispensary,"This outlines the Planning Department's application process, required materials, and other information necessary to operate a Medical Cannabis Dispensary in San Francisco.",Planning Department's Permit Forms Page,http://www.sf-planning.org/index.aspx?page=2611#m,,Medical Marijuana Dispensary,Cannabis*MCD*Pot Club,SF Planning Department,City,,,,,,Application Packet to Operate a Medical Cannabis Dispensary,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Wrecker,This permit allows a business to buy second-hand automobiles or other vehicles for the exclusive purpose of wrecking.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Auto Wrecker,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balloon Advertising,This permit allows you to use floating balloons or kites for the purpose of advertising.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingo,This permit allows you conduct Bingo games in which prizes are awarded.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charitable Solicitation Sales,"This permit is used to regulate the sale of goods in public areas (streets and sidewalks), with the proceeds going to nonprofit organizations.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
